DATE,APU000074714,CPIAUCSL
1/1/1990,1.042,127.5
2/1/1990,1.037,128
3/1/1990,1.023,128.6
4/1/1990,1.044,128.9
5/1/1990,1.061,129.1
6/1/1990,1.088,129.9
7/1/1990,1.084,130.5
8/1/1990,1.19,131.6
9/1/1990,1.294,132.5
10/1/1990,1.378,133.4
11/1/1990,1.377,133.7
12/1/1990,1.354,134.2
1/1/1991,1.247,134.7
2/1/1991,1.143,134.8
3/1/1991,1.082,134.8
4/1/1991,1.104,135.1
5/1/1991,1.156,135.6
6/1/1991,1.16,136
7/1/1991,1.127,136.2
8/1/1991,1.14,136.6
9/1/1991,1.143,137
10/1/1991,1.122,137.2
11/1/1991,1.134,137.8
12/1/1991,1.123,138.2
1/1/1992,1.073,138.3
2/1/1992,1.054,138.6
3/1/1992,1.058,139.1
4/1/1992,1.079,139.4
5/1/1992,1.136,139.7
6/1/1992,1.179,140.1
7/1/1992,1.174,140.5
8/1/1992,1.158,140.8
9/1/1992,1.158,141.1
10/1/1992,1.154,141.7
11/1/1992,1.159,142.1
12/1/1992,1.136,142.3
1/1/1993,1.117,142.8
2/1/1993,1.108,143.1
3/1/1993,1.098,143.3
4/1/1993,1.112,143.8
5/1/1993,1.129,144.2
6/1/1993,1.13,144.3
7/1/1993,1.109,144.5
8/1/1993,1.097,144.8
9/1/1993,1.085,145
10/1/1993,1.127,145.6
11/1/1993,1.113,146
12/1/1993,1.07,146.3
1/1/1994,1.043,146.3
2/1/1994,1.051,146.7
3/1/1994,1.045,147.1
4/1/1994,1.064,147.2
5/1/1994,1.08,147.5
6/1/1994,1.106,147.9
7/1/1994,1.136,148.4
8/1/1994,1.182,149
9/1/1994,1.177,149.3
10/1/1994,1.152,149.4
11/1/1994,1.163,149.8
12/1/1994,1.143,150.1
1/1/1995,1.129,150.5
2/1/1995,1.12,150.9
3/1/1995,1.115,151.2
4/1/1995,1.14,151.8
5/1/1995,1.2,152.1
6/1/1995,1.226,152.4
7/1/1995,1.195,152.6
8/1/1995,1.164,152.9
9/1/1995,1.148,153.1
10/1/1995,1.127,153.5
11/1/1995,1.101,153.7
12/1/1995,1.101,153.9
1/1/1996,1.129,154.7
2/1/1996,1.124,155
3/1/1996,1.162,155.5
4/1/1996,1.251,156.1
5/1/1996,1.323,156.4
6/1/1996,1.299,156.7
7/1/1996,1.272,157
8/1/1996,1.24,157.2
9/1/1996,1.234,157.7
10/1/1996,1.227,158.2
11/1/1996,1.25,158.7
12/1/1996,1.26,159.1
1/1/1997,1.261,159.4
2/1/1997,1.255,159.7
3/1/1997,1.235,159.8
4/1/1997,1.231,159.9
5/1/1997,1.226,159.9
6/1/1997,1.229,160.2
7/1/1997,1.205,160.4
8/1/1997,1.253,160.8
9/1/1997,1.277,161.2
10/1/1997,1.242,161.5
11/1/1997,1.213,161.7
12/1/1997,1.177,161.8
1/1/1998,1.131,162
2/1/1998,1.082,162
3/1/1998,1.041,162
4/1/1998,1.052,162.2
5/1/1998,1.092,162.6
6/1/1998,1.094,162.8
7/1/1998,1.079,163.2
8/1/1998,1.052,163.4
9/1/1998,1.033,163.5
10/1/1998,1.042,163.9
11/1/1998,1.028,164.1
12/1/1998,0.986,164.4
1/1/1999,0.972,164.7
2/1/1999,0.955,164.7
3/1/1999,0.991,164.8
4/1/1999,1.177,165.9
5/1/1999,1.178,166
6/1/1999,1.148,166
7/1/1999,1.189,166.7
8/1/1999,1.255,167.1
9/1/1999,1.28,167.8
10/1/1999,1.274,168.1
11/1/1999,1.264,168.4
12/1/1999,1.298,168.8
1/1/2000,1.301,169.3
2/1/2000,1.369,170
3/1/2000,1.541,171
4/1/2000,1.506,170.9
5/1/2000,1.498,171.2
6/1/2000,1.617,172.2
7/1/2000,1.593,172.7
8/1/2000,1.51,172.7
9/1/2000,1.582,173.6
10/1/2000,1.559,173.9
11/1/2000,1.555,174.2
12/1/2000,1.489,174.6
1/1/2001,1.472,175.6
2/1/2001,1.484,176
3/1/2001,1.447,176.1
4/1/2001,1.564,176.4
5/1/2001,1.729,177.3
6/1/2001,1.64,177.7
7/1/2001,1.482,177.4
8/1/2001,1.427,177.4
9/1/2001,1.531,178.1
10/1/2001,1.362,177.6
11/1/2001,1.263,177.5
12/1/2001,1.131,177.4
1/1/2002,1.139,177.7
2/1/2002,1.13,178
3/1/2002,1.241,178.5
4/1/2002,1.407,179.3
5/1/2002,1.421,179.5
6/1/2002,1.404,179.6
7/1/2002,1.412,180
8/1/2002,1.423,180.5
9/1/2002,1.422,180.8
10/1/2002,1.449,181.2
11/1/2002,1.448,181.5
12/1/2002,1.394,181.8
1/1/2003,1.473,182.6
2/1/2003,1.641,183.6
3/1/2003,1.748,183.9
4/1/2003,1.659,183.2
5/1/2003,1.542,182.9
6/1/2003,1.514,183.1
7/1/2003,1.524,183.7
8/1/2003,1.628,184.5
9/1/2003,1.728,185.1
10/1/2003,1.603,184.9
11/1/2003,1.535,185
12/1/2003,1.494,185.5
1/1/2004,1.592,186.3
2/1/2004,1.672,186.7
3/1/2004,1.766,187.1
4/1/2004,1.833,187.4
5/1/2004,2.009,188.2
6/1/2004,2.041,188.9
7/1/2004,1.939,189.1
8/1/2004,1.898,189.2
9/1/2004,1.891,189.8
10/1/2004,2.029,190.8
11/1/2004,2.01,191.7
12/1/2004,1.882,191.7
1/1/2005,1.823,191.6
2/1/2005,1.918,192.4
3/1/2005,2.065,193.1
4/1/2005,2.283,193.7
5/1/2005,2.216,193.6
6/1/2005,2.176,193.7
7/1/2005,2.316,194.9
8/1/2005,2.506,196.1
9/1/2005,2.927,198.8
10/1/2005,2.785,199.1
11/1/2005,2.343,198.1
12/1/2005,2.186,198.1
1/1/2006,2.315,199.3
2/1/2006,2.31,199.4
3/1/2006,2.401,199.7
4/1/2006,2.757,200.7
5/1/2006,2.947,201.3
6/1/2006,2.917,201.8
7/1/2006,2.999,202.9
8/1/2006,2.985,203.8
9/1/2006,2.589,202.8
10/1/2006,2.272,201.9
11/1/2006,2.241,202
12/1/2006,2.334,203.1
1/1/2007,2.274,203.437
2/1/2007,2.285,204.226
3/1/2007,2.592,205.288
4/1/2007,2.86,205.904
5/1/2007,3.13,206.755
6/1/2007,3.052,207.234
7/1/2007,2.961,207.603
8/1/2007,2.782,207.667
9/1/2007,2.789,208.547
10/1/2007,2.793,209.19
11/1/2007,3.069,210.834
12/1/2007,3.02,211.445
1/1/2008,3.047,212.174
2/1/2008,3.033,212.687
3/1/2008,3.258,213.448
4/1/2008,3.441,213.942
5/1/2008,3.764,215.208
6/1/2008,4.065,217.463
7/1/2008,4.09,219.016
8/1/2008,3.786,218.69
9/1/2008,3.698,218.877
10/1/2008,3.173,216.995
11/1/2008,2.151,213.153
12/1/2008,1.689,211.398
1/1/2009,1.787,211.933
2/1/2009,1.928,212.705
3/1/2009,1.949,212.495
4/1/2009,2.056,212.709
5/1/2009,2.265,213.022
6/1/2009,2.631,214.79
7/1/2009,2.543,214.726
8/1/2009,2.627,215.445
9/1/2009,2.574,215.861
10/1/2009,2.561,216.509
11/1/2009,2.66,217.234
12/1/2009,2.621,217.347
1/1/2010,2.731,217.488
2/1/2010,2.659,217.281
3/1/2010,2.78,217.353
4/1/2010,2.858,217.403
5/1/2010,2.869,217.29
6/1/2010,2.736,217.199
7/1/2010,2.736,217.605
8/1/2010,2.745,217.923
9/1/2010,2.704,218.275
10/1/2010,2.795,219.035
11/1/2010,2.852,219.59
12/1/2010,2.985,220.472
1/1/2011,3.091,221.187
2/1/2011,3.167,221.898
3/1/2011,3.546,223.046
4/1/2011,3.816,224.093
5/1/2011,3.933,224.806
6/1/2011,3.702,224.806
7/1/2011,3.654,225.395
8/1/2011,3.63,226.106
9/1/2011,3.612,226.597
10/1/2011,3.468,226.75
11/1/2011,3.423,227.169
12/1/2011,3.278,227.223
1/1/2012,3.399,227.842
2/1/2012,3.572,228.329
3/1/2012,3.868,228.807
4/1/2012,3.927,229.187
5/1/2012,3.792,228.713
6/1/2012,3.552,228.524
7/1/2012,3.451,228.59
8/1/2012,3.707,229.918
9/1/2012,3.856,231.015
10/1/2012,3.786,231.638
11/1/2012,3.488,231.249
12/1/2012,3.331,231.221
1/1/2013,3.351,231.679
2/1/2013,3.693,232.937
3/1/2013,3.735,232.282
4/1/2013,3.59,231.797
5/1/2013,3.623,231.893
6/1/2013,3.633,232.445
7/1/2013,3.628,232.9
8/1/2013,3.6,233.456
9/1/2013,3.556,233.544
10/1/2013,3.375,233.669
11/1/2013,3.251,234.1
12/1/2013,3.277,234.719
1/1/2014,3.32,235.288
2/1/2014,3.364,235.547
3/1/2014,3.532,236.028
4/1/2014,3.659,236.468
5/1/2014,3.691,236.918
6/1/2014,3.695,237.231
7/1/2014,3.633,237.498
8/1/2014,3.481,237.46
9/1/2014,3.403,237.477
10/1/2014,3.182,237.43
11/1/2014,2.887,236.983
12/1/2014,2.56,236.252
1/1/2015,2.11,234.747
2/1/2015,2.249,235.342
3/1/2015,2.483,235.976
4/1/2015,2.485,236.222
5/1/2015,2.775,237.001
6/1/2015,2.832,237.657
7/1/2015,2.832,238.034
8/1/2015,2.679,238.033
9/1/2015,2.394,237.498
10/1/2015,2.289,237.733
11/1/2015,2.185,238.017
12/1/2015,2.06,237.761
1/1/2016,1.967,237.652
2/1/2016,1.767,237.336
3/1/2016,1.958,238.08
4/1/2016,2.134,238.992
5/1/2016,2.264,239.557
6/1/2016,2.363,240.222
7/1/2016,2.225,240.101
8/1/2016,2.155,240.545
9/1/2016,2.208,241.176
10/1/2016,2.243,241.741
11/1/2016,2.187,242.026
12/1/2016,2.23,242.637
1/1/2017,2.351,243.62
2/1/2017,2.299,243.872
3/1/2017,2.323,243.766
4/1/2017,2.418,244.274
5/1/2017,2.386,244.069
6/1/2017,2.337,244.218
7/1/2017,2.281,244.28
8/1/2017,2.374,245.205
9/1/2017,2.63,246.551
10/1/2017,2.484,246.657
11/1/2017,2.548,247.378
12/1/2017,2.459,247.736
1/1/2018,2.539,248.721
2/1/2018,2.575,249.3
3/1/2018,2.572,249.517
4/1/2018,2.737,250.275
5/1/2018,2.907,250.786
6/1/2018,2.914,251.152
7/1/2018,2.873,251.345
8/1/2018,2.862,251.735
9/1/2018,2.873,252.183
10/1/2018,2.887,252.899
11/1/2018,2.671,252.822
12/1/2018,2.414,252.493
1/1/2019,2.289,252.441
2/1/2019,2.353,252.969
3/1/2019,2.564,254.147
4/1/2019,2.835,255.326
5/1/2019,2.901,255.371
6/1/2019,2.752,255.423
7/1/2019,2.776,255.925
8/1/2019,2.655,256.118
9/1/2019,2.63,256.532
10/1/2019,2.673,257.387
11/1/2019,2.62,257.989
12/1/2019,2.587,258.203
1/1/2020,2.567,258.687
2/1/2020,2.465,258.824
3/1/2020,2.267,257.989
4/1/2020,1.876,256.192
5/1/2020,1.879,255.942
6/1/2020,2.076,257.282
7/1/2020,2.176,258.604
8/1/2020,2.177,259.511
9/1/2020,2.193,260.149
10/1/2020,2.159,260.462
11/1/2020,2.09,260.927
12/1/2020,2.168,261.56
1/1/2021,2.326,262.231
2/1/2021,2.496,263.161
3/1/2021,2.791,264.793
4/1/2021,2.839,266.832
5/1/2021,2.972,268.551
6/1/2021,3.154,270.981
7/1/2021,3.233,272.265
8/1/2021,3.255,273.012
9/1/2021,3.265,274.138
